product_id,product_name,category,price,brand,tags,description
PROD1000,Everbond Couple Bracelet,Bracelets,3434.35,Everbond,"couple, matching, adjustable, silver","Everbond Couple Bracelet - a bracelets piece by Everbond, crafted in 925 sterling silver, tagged as couple, matching, adjustable, silver."
PROD1001,Infinity Charm Bracelet,Bracelets,695.99,Lumora,"charm, infinity, minimal, everyday","Infinity Charm Bracelet - a bracelets piece by Lumora, crafted in 925 sterling silver, tagged as charm, infinity, minimal, everyday."
PROD1002,Matching Heart Bracelet Set,Bracelets,589.13,Everbond,"couple, heart, set, gift","Matching Heart Bracelet Set - a bracelets piece by Everbond, crafted in 925 sterling silver, tagged as couple, heart, set, gift."
PROD1003,Classic Chain Bracelet,Bracelets,4275.46,Solstice,"chain, minimal, unisex, everyday","Classic Chain Bracelet - a bracelets piece by Solstice, crafted in 925 sterling silver, tagged as chain, minimal, unisex, everyday."
PROD1004,Couple Initial Ring,Rings,3141.14,Solstice,"couple, initial, engraved, personalized","Couple Initial Ring - a rings piece by Solstice, crafted in 925 sterling silver, tagged as couple, initial, engraved, personalized."
PROD1005,Promise Band Ring,Rings,1510.17,Lumora,"promise, band, minimal, everyday","Promise Band Ring - a rings piece by Lumora, crafted in 925 sterling silver, tagged as promise, band, minimal, everyday."
PROD1006,Personalized Name Ring,Rings,3882.07,Everbond,"personalized, engraved, gift, name","Personalized Name Ring - a rings piece by Everbond, crafted in 925 sterling silver, tagged as personalized, engraved, gift, name."
PROD1007,Stackable Stone Ring,Rings,1685.61,Aurelia,"stackable, stone, statement, party","Stackable Stone Ring - a rings piece by Aurelia, crafted in 925 sterling silver, tagged as stackable, stone, statement, party."
PROD1008,Twin Souls Pendant,Pendants,2388.9,Everbond,"couple, pendant, heart, matching","Twin Souls Pendant - a pendants piece by Everbond, crafted in 925 sterling silver, tagged as couple, pendant, heart, matching."
PROD1009,Zodiac Sign Pendant,Pendants,2528.64,Aurelia,"zodiac, personalized, gift, minimal","Zodiac Sign Pendant - a pendants piece by Aurelia, crafted in 925 sterling silver, tagged as zodiac, personalized, gift, minimal."
PROD1010,Layered Initial Pendant,Pendants,4797.92,Lumora,"layered, initial, minimal, everyday","Layered Initial Pendant - a pendants piece by Lumora, crafted in 925 sterling silver, tagged as layered, initial, minimal, everyday."
PROD1011,Couple Pendant Set,Pendants,4512.56,Everbond,"couple, set, matching, gift","Couple Pendant Set - a pendants piece by Everbond, crafted in 925 sterling silver, tagged as couple, set, matching, gift."
PROD1012,Minimalist Chain Necklace,Necklaces,1752.85,Solstice,"minimal, chain, everyday, unisex","Minimalist Chain Necklace - a necklaces piece by Solstice, crafted in 925 sterling silver, tagged as minimal, chain, everyday, unisex."
PROD1013,Statement Layered Necklace,Necklaces,1752.4,Aurelia,"statement, layered, party, bold","Statement Layered Necklace - a necklaces piece by Aurelia, crafted in 925 sterling silver, tagged as statement, layered, party, bold."
PROD1014,Couple Matching Necklace Set,Necklaces,2398.0,Everbond,"couple, matching, set, gift","Couple Matching Necklace Set - a necklaces piece by Everbond, crafted in 925 sterling silver, tagged as couple, matching, set, gift."
PROD1015,Pearl Drop Necklace,Necklaces,517.35,Lumora,"pearl, drop, elegant, evening","Pearl Drop Necklace - a necklaces piece by Lumora, crafted in 925 sterling silver, tagged as pearl, drop, elegant, evening."
PROD1016,Stud Earrings Classic,Earrings,1889.16,Solstice,"stud, minimal, everyday, classic","Stud Earrings Classic - a earrings piece by Solstice, crafted in 925 sterling silver, tagged as stud, minimal, everyday, classic."
PROD1017,Hoop Earrings Bold,Earrings,4781.89,Aurelia,"hoop, statement, party, bold","Hoop Earrings Bold - a earrings piece by Aurelia, crafted in 925 sterling silver, tagged as hoop, statement, party, bold."
PROD1018,Couple Symbol Earrings,Earrings,4270.92,Everbond,"couple, symbol, matching, gift","Couple Symbol Earrings - a earrings piece by Everbond, crafted in 925 sterling silver, tagged as couple, symbol, matching, gift."
PROD1019,Drop Earrings Elegant,Earrings,2907.08,Lumora,"drop, elegant, evening, party","Drop Earrings Elegant - a earrings piece by Lumora, crafted in 925 sterling silver, tagged as drop, elegant, evening, party."
PROD1020,Chain Anklet Minimal,Anklets,2683.7,Solstice,"anklet, minimal, everyday, chain","Chain Anklet Minimal - a anklets piece by Solstice, crafted in 925 sterling silver, tagged as anklet, minimal, everyday, chain."
PROD1021,Charm Anklet Beaded,Anklets,4752.07,Lumora,"anklet, beaded, boho, everyday","Charm Anklet Beaded - a anklets piece by Lumora, crafted in 925 sterling silver, tagged as anklet, beaded, boho, everyday."
PROD1022,Tiny Stud Nose Pin,Nose Pins,3168.28,Solstice,"nose pin, minimal, everyday, tiny","Tiny Stud Nose Pin - a nose pins piece by Solstice, crafted in 925 sterling silver, tagged as nose pin, minimal, everyday, tiny."
PROD1023,Floral Nose Pin,Nose Pins,4741.91,Aurelia,"nose pin, floral, traditional, statement","Floral Nose Pin - a nose pins piece by Aurelia, crafted in 925 sterling silver, tagged as nose pin, floral, traditional, statement."
PROD1024,His & Hers Couple Set,Couple Sets,4989.47,Everbond,"couple, set, matching, anniversary","His & Hers Couple Set - a couple sets piece by Everbond, crafted in 925 sterling silver, tagged as couple, set, matching, anniversary."
PROD1025,Anniversary Couple Set,Couple Sets,650.94,Everbond,"couple, anniversary, gift, matching","Anniversary Couple Set - a couple sets piece by Everbond, crafted in 925 sterling silver, tagged as couple, anniversary, gift, matching."
PROD1026,Everyday Couple Bands,Couple Sets,1032.52,Solstice,"couple, band, everyday, minimal","Everyday Couple Bands - a couple sets piece by Solstice, crafted in 925 sterling silver, tagged as couple, band, everyday, minimal."
PROD1027,Celestial Couple Pendant Set,Couple Sets,3924.39,Aurelia,"couple, celestial, gift, matching","Celestial Couple Pendant Set - a couple sets piece by Aurelia, crafted in 925 sterling silver, tagged as couple, celestial, gift, matching."
